name,description,email,status
Vasil's Store,Electronics Store,vasil@store.com,ACTIVE
Marta's Boutique,Fashion Boutique,marta@boutique.bg,INACTIVE
Sofia Art Gallery,Art Collections,art@sofiagallery.bg,ACTIVE
Plovdiv Market,Local Market in Plovdiv,market@plovdiv.bg,ACTIVE
Burgas Books,Bookstore in Burgas,burgas@books.bg,ACTIVE
Rose Boutique,Rose Oil Products,rose@boutique.bg,ACTIVE
Plovdiv Tech Hub,Tech Products in Plovdiv,plovdivtech@hub.bg,ACTIVE
Bulgarian Wines,Wine Collection,wine@store.bg,ACTIVE
Rose Market,Rose Market in Kazanlak,rosemarket@kazanlak.bg,ACTIVE
Sofia Jewelry,Jewelry Store in Sofia,jewelry@sofia.bg,INACTIVE
Varna Marine,Marine Products,varna@marine.bg,ACTIVE
Burgas Beachwear,Beach Clothing,burgas@beachwear.bg,ACTIVE
Mountain Treasures,Mountain Tourism Products,mountain@treasures.bg,ACTIVE
Thracian Pottery,Pottery Products,pottery@store.bg,ACTIVE
Sofia Antiques,Antique Collections,antiques@sofia.bg,INACTIVE
Tokyo Tech,Tech Store in Tokyo,tokyo@techstore.jp,ACTIVE
Paris Fashion,Fashion in Paris,parisfashion@boutique.fr,ACTIVE
London Books,Bookstore in London,london@books.uk,ACTIVE
Berlin Art Gallery,Art Collections,art@berlingallery.de,ACTIVE
New York Wines,Wine Collection,wine@store.us,ACTIVE
Sydney Beachwear,Beach Clothing,sydney@beachwear.au,ACTIVE
Madrid Crafts,Handmade Crafts,crafts@madridstore.es,ACTIVE
Rome Antiques,Antique Collections,antiques@rome.it,INACTIVE
Mumbai Fabrics,Traditional Fabrics,fabrics@mumbaicraft.in,ACTIVE
Toronto Electronics,Electronics in Toronto,electronics@castore.ca,ACTIVE
Rio Jewelry,Jewelry Store in Rio,jewelry@riostore.br,ACTIVE
Cape Town Marine,Marine Products,capetown@marine.za,ACTIVE
Moscow Boutique,Fashion Boutique,moscow@boutique.ru,INACTIVE
Beijing Market,Local Market in Beijing,market@beijing.cn,ACTIVE
Istanbul Pottery,Pottery Products,pottery@store.tr,ACTIVE
